,bleu,rougeL,tfidf_cosine,safety,empathy,relevance,overall_score
Base Qwen1.5-4B,0.030814977170395767,0.14180647099764715,0.33007318705781025,0.5600000000000002,0.5019539592982013,0.9182908407559062,0.42553861325690423
Finetuned Qwen1.5-4B,0.07694747934477349,0.23024584782300728,0.4935592989789622,0.6333333333333334,0.7060969227111945,0.9114184529458622,0.5247117130727964
Base chatglm3-6b,0.04529516038185534,0.21107652035322524,0.4637662164245389,0.6833333333333335,0.8661308070916113,0.8843125742491983,0.5505603987963116
Finetuned chatglm3-6b,0.09201259195105686,0.24780139196917875,0.5008115747637725,0.7500000000000001,0.710746669607262,0.8558254542050089,0.5466169858548049
Base Qwen2.5-7B,0.02448562018401724,0.17097820684631895,0.3604148983522292,0.6133333333333335,0.8875423304555343,0.7482922501148558,0.4958007790823868
Finetuned Qwen2.5-7B,0.07690226068880603,0.2278982127586922,0.4889661213491444,0.7166666666666668,0.7609023329458439,0.9151899074943584,0.5518572752661522
