,bleu,rougeL,tfidf_cosine,safety,empathy,relevance,response_length,overall_score
Finetuned Qwen1.5-4B,0.0574014489303106,0.21439269995065774,0.45006420085476906,0.7079999999999999,0.12693381652453264,0.7350507652787798,1.0,0.38552313055708404
Qwen1.5-4B,0.056988502351881486,0.21431512396805272,0.44968161073474716,0.706,0.12970771409799367,0.8051095307098686,1.0,0.3960557579842812
ChatGLM3-6B,0.037279094535415586,0.19466811250822602,0.4222670583364523,0.7319999999999999,0.2024893225170441,0.8075221417388257,1.0,0.4061583255712467
